N_THREADS,REP1,REP2,REP3,REP4,REP5
1,171641,171605,171600,171822,171546
2,85914,106785,86067,86091,86017
4,43170,43106,42973,43113,43128
8,21824,21514,21658,21613,21683
16,11712,11512,12419,12403,12381
32,10950,10770,10752,10762,10759
64,11541,11036,11317,11135,11134
